"","code","year","eb_nmr_fil"
"1",5001,2003,9992.99377028109
"2",5002,2003,9986.99320407036
"3",5004,2003,9989.531659399
"4",5021,2003,9987.07142294289
"5",5030,2003,9992.50396473343
"6",5031,2003,9990.55166218316
"7",5034,2003,9992.68042153005
"8",5036,2003,9993.97319720585
"9",5038,2003,9992.25022653808
"10",5040,2003,9989.65779110891
"11",5042,2003,9992.11605335715
"12",5044,2003,9993.78355408431
"13",5045,2003,9996.09335883699
"14",5051,2003,9999.07922364587
"15",5055,2003,9982.38012120709
"16",5059,2003,9994.38413763806
"17",5079,2003,9993.96359159322
"18",5086,2003,9995.95073754816
"19",5088,2003,9993.79612710807
"20",5091,2003,9995.76008921464
"21",5093,2003,9997.00547965372
"22",5101,2003,9992.37293357084
"23",5107,2003,9993.3819773317
"24",5113,2003,9994.81531374005
"25",5120,2003,9999.32166967773
"26",5125,2003,9994.51233953602
"27",5129,2003,9991.86337788976
"28",5134,2003,9996.51150796596
"29",5138,2003,9995.11594738581
"30",5142,2003,9990.03970268581
"31",5145,2003,9994.74234436742
"32",5147,2003,9995.62634579931
"33",5148,2003,9991.10904881451
"34",5150,2003,9993.15144749925
"35",5154,2003,9999.47840324155
"36",5172,2003,9995.26373795198
"37",5190,2003,9996.4878134558
"38",5197,2003,9976.13614432569
"39",5206,2003,9986.32766697146
"40",5209,2003,9993.0381477202
"41",5212,2003,9994.53692471924
"42",5234,2003,9993.31516312218
"43",5237,2003,9995.78334204827
"44",5240,2003,9997.69313605884
"45",5250,2003,9998.78256892055
"46",5264,2003,9997.70137467713
"47",5266,2003,9997.0186810339
"48",5282,2003,9994.62134225281
"49",5284,2003,9994.97307066241
"50",5306,2003,9993.81325232623
"51",5308,2003,9995.86667983873
"52",5310,2003,9991.42978764662
"53",5313,2003,9954.50502047181
"54",5315,2003,9992.57492587719
"55",5318,2003,9994.12878706254
"56",5321,2003,9993.70856234747
"57",5347,2003,9994.09106474014
"58",5353,2003,9995.67378080835
"59",5360,2003,9992.54675802566
"60",5361,2003,9989.5631396261
"61",5364,2003,9994.69492115915
"62",5368,2003,9995.16238868893
"63",5376,2003,9993.90664800341
"64",5380,2003,9993.32863019375
"65",5390,2003,9992.34314761451
"66",5400,2003,9994.13002131793
"67",5411,2003,9996.99381071648
"68",5425,2003,9983.20909399054
"69",5440,2003,9993.09130611069
"70",5467,2003,9991.9257040595
"71",5475,2003,9996.891002459
"72",5480,2003,9988.39473249605
"73",5483,2003,9985.90488836657
"74",5490,2003,9997.78183524543
"75",5495,2003,9998.85884556074
"76",5501,2003,9993.96679822836
"77",5541,2003,9990.24282241404
"78",5543,2003,9995.57387254408
"79",5576,2003,9995.86285280944
"80",5579,2003,9995.03788697093
"81",5585,2003,9998.00781845739
"82",5591,2003,9996.96275579518
"83",5604,2003,9982.53689540527
"84",5607,2003,9993.50330542268
"85",5615,2003,9996.22261627658
"86",5628,2003,9992.28057340762
"87",5631,2003,9995.57438172348
"88",5642,2003,9992.31477722508
"89",5647,2003,9984.02036213006
"90",5649,2003,9970.52476011833
"91",5652,2003,9960.65948838877
"92",5656,2003,9994.41206450899
"93",5658,2003,9991.66279022884
"94",5659,2003,9997.71599514955
"95",5660,2003,9987.9545150365
"96",5664,2003,9996.27099205761
"97",5665,2003,9999.08809611633
"98",5667,2003,9986.60766255939
"99",5670,2003,9985.37731351731
"100",5674,2003,9989.59978844144
"101",5679,2003,9992.35987245837
"102",5686,2003,9995.8664242517
"103",5690,2003,9980.69654039689
"104",5697,2003,9989.81841234044
"105",5736,2003,9993.1151109316
"106",5756,2003,9985.51212062195
"107",5761,2003,9995.2406573636
"108",5789,2003,9995.06006096291
"109",5790,2003,9998.06839139835
"110",5792,2003,9995.2822921283
"111",5809,2003,9993.42777741939
"112",5819,2003,9981.89390402845
"113",5837,2003,9996.2289086407
"114",5842,2003,9997.36114822988
"115",5847,2003,9990.07003830385
"116",5854,2003,9993.83375971929
"117",5856,2003,9991.35510605302
"118",5858,2003,9992.59445788732
"119",5861,2003,9997.34100734189
"120",5873,2003,9997.37692759113
"121",5885,2003,9992.91790014641
"122",5887,2003,9991.52550493381
"123",5890,2003,9991.41675473659
"124",5893,2003,9991.27974713532
"125",5895,2003,9998.5019477096
"126",8001,2003,9995.95513748864
"127",8078,2003,9996.31476337029
"128",8137,2003,9996.96002584556
"129",8141,2003,9996.32163654099
"130",8296,2003,9995.89315574677
"131",8372,2003,9996.84729856834
"132",8421,2003,9995.96299399543
"133",8433,2003,9996.52663173001
"134",8436,2003,9996.61512662222
