"","code.sh","year","errad_aerea","lag.ataqinst_ELN","lag.H_coca","lag.errad_manual","H_Coca_mayor3","lag.DF_gast_inv","errad_manual","lag.lotes_coca","lotes_coca","lag.g_terreno","eb_mr","imr","lag.gini","Litr","lag.eb_pir"
"1",5001,2001,0,0,0,0,0,63.7036819214513,0.2,0,0,0.721878483184594,NA,NA,NA,NA,NA
"2",5001,2004,98.0833333333333,0,0,0,0,71.5690183446454,0,0,0,0.739233713774868,5.76437934444342,14,0.450318184765902,92.22668,NA
"3",5001,2007,0,0,0,0.0606060606060606,0,77.8852216508933,0,0,0,0.760909087730177,3.28665688413275,13.8733333333333,NA,NA,NA
"4",5001,2010,0,NA,0,1.45969696969697,0,80.0893560964623,1,0,0,0.740909094160253,6.25740608206676,13.66100570131,NA,NA,2.81268221774561
"5",5002,2001,0,0,0.0476190476190476,0,0,69.2093643796213,0,0.0476190476190476,0,0.72939879476046,NA,NA,NA,NA,NA
"6",5002,2004,0,0,5.76190476190476,0.0952380952380952,0,73.7606634766123,0,3.80952380952381,0,0.728696615135862,10.4753852116664,16.4400000000001,0.470614275762013,88.21349,NA
"7",5002,2007,0,0,8.52380952380952,2.21904761904762,0,79.0352698650249,0,7,0,0.754220956847781,3.9936391352597,16.07,NA,NA,NA
"8",5002,2010,0,NA,5.09523809523809,22.7252380952381,0,81.6187467458725,0,6,0,0.73846762804758,2.45476237177051,15.5082869989883,NA,NA,3.86291866366719
"9",5004,2001,0,0,0.84,0,0,70.0584104894142,0,0.611111111111111,0,0.698881421837414,NA,NA,NA,NA,NA
"10",5004,2004,0,0,0.777777777777778,0,0,80.5183104182539,0,0.5,0,0.734068940265942,7.3380829602429,18.63,0.500466674566269,92.85228,NA
"11",5004,2007,0,0,0.222222222222222,0.608333333333333,0,82.8123256566444,0,0.222222222222222,0,0.760555548800362,3.4346124399702,18.2166666666667,NA,NA,NA
"12",5004,2010,0,NA,3,1.28888888888889,0,84.3689207046861,0,2.83333333333333,0,0.766666660706202,3.63154708910649,17.0736666666667,NA,NA,2.28453055556929
"13",5021,2001,0,0.0666666666666667,10.0353333333333,0,0,77.7274097323633,0,4.6,0,0.677107738426382,NA,NA,NA,NA,NA
"14",5021,2004,0,0,0,0.0666666666666667,0,82.6534851230708,0,0,0,0.696911772538172,10.5833333333333,20.4,0.482499998807907,92.1814,NA
"15",5021,2007,0,0,0.866666666666667,0.166666666666667,0,84.5625497924712,0,0.6,0,0.695333337783813,3.85333333333377,19.7433333333333,NA,NA,NA
"16",5021,2010,0,NA,1.26666666666667,1.06666666666667,0,87.0854022601609,0,0.466666666666667,0,0.688000011444092,3.24333333333319,18.87,NA,NA,1.9267960642439
"17",5030,2001,0,0,0,0,0,65.6651624193365,0,0,0,0.715755547521056,NA,NA,NA,NA,NA
"18",5030,2004,0,0,0,0,0,74.8208752805191,0,0,0,0.824999988079071,5.79673918466991,14.65,0.471699994802475,91.06133,NA
"19",5030,2007,0,0,0,0,0,76.6168188707335,0,0,0,0.825999995072683,4.59960026350321,14.3233333333333,NA,NA,NA
"20",5030,2010,0,NA,0,0,0,76.7731339251005,0,0,0,0.824000000953674,4.19376436343676,13.8933333333334,NA,NA,3.45592749440893
"21",5031,2001,0,0.0416666666666667,167.195416666667,4.70833333333333,9.94333333333333,71.7698281418728,0,116.958333333333,70.6666666666667,0.642080689214297,NA,NA,NA,NA,NA
"22",5031,2004,0,0.0416666666666667,215.19625,10.77875,15.3333333333333,77.1001796218548,0.98,179.75,106.333333333333,0.648392455656371,7.94816659392018,17.26,0.506200015544891,82.59164,NA
"23",5031,2007,323.28,0,278.125,198.507916666667,29,82.8759873914921,62.59,252.166666666667,212.333333333333,0.653750002384186,6.34285193359331,16.88,NA,NA,NA
"24",5031,2010,192.75,NA,116.166666666667,86.3245833333333,0.333333333333333,83.1546810693399,25.0266666666667,154.666666666667,111.666666666667,0.659601200719674,3.67275021148998,15.975540966675,NA,NA,2.80603343120424
"25",5034,2001,0,0,0,0,0,72.5471676959914,0,0,0,0.721047529974722,NA,NA,NA,NA,NA
"26",5034,2004,0,0.0952380952380952,0,0,0,76.7047183181038,0,0,0,0.753497679396899,5.82742934984708,14.45,0.495071419647762,84.93494,NA
"27",5034,2007,0,0,0,0.0857142857142857,0,77.5868054212984,0,0,0,0.761449521496182,5.1099822583401,14.1233333333333,NA,NA,NA
"28",5034,2010,0,NA,0,0,0,80.486190294099,0,0,0,0.763898568493979,3.3068699690369,13.647766156836,NA,NA,2.87684830488836
"29",5036,2001,0,0.0476190476190476,0,0.0285714285714286,0,63.4219751419613,0,0,0,0.727101278943515,NA,NA,NA,NA,NA
"30",5036,2004,0,0,0,0,0,74.2282161526712,0,0,0,0.799983378443702,4.89452399000947,14.02,0.457057148218155,81.76006,NA
"31",5036,2007,0,0,0,0,0,78.1644508980875,0,0,0,0.81363982677002,3.14566747459018,13.7066666666667,NA,NA,NA
"32",5036,2010,0,NA,0,2.43666666666667,0,79.4347321943981,0,0,0,0.799616431783289,3.33517812933678,13.2827883309847,NA,NA,3.35166516237548
"33",5038,2001,0,0,4.64333333333333,0,0,72.0656415525614,0,4.53333333333333,0,0.704471826507489,NA,NA,NA,NA,NA
"34",5038,2004,0,0,10.9333333333333,0.466666666666667,0,80.6859688616004,0,7.93333333333333,0,0.726917932507753,6.71631837286016,31.34,0.506200015544891,80.79589,NA
"35",5038,2007,0,0,5.2,19.348,0,79.3886491891252,0,4.06666666666667,0,0.693333339691162,3.44167605988029,30.24,NA,NA,NA
